kind,M,k,d,neg_ratio,trials,mean_ratio,rsd_emp,rsd_theory,rsd_emp_over_theory,q05_emp,q05_chi2,q05_normal,q50_emp,q95_emp,q95_chi2,fail_rate,failed_n,failed_mean_ratio,failed_q05,lemma5_rel_bound,q01_emp,q01_chi2,failed_q01,failed_q05_oslcb95,failed_q01_oslcb95
grid,256,4,2048,0.9,1000000,0.999909,0.088475,0.088540,0.9993,0.8588,0.8589,0.8544,0.9972,1.1498,1.1500,1.00000,1000000,0.999909,0.8588,NaN,0.8055,0.8056,0.8055,0.8586,0.8050
grid,256,4,102,-1,1000000,0.999939,0.088145,0.088126,1.0002,0.8609,0.8589,0.8550,0.9960,1.1497,1.1500,0.00002,24,0.999922,0.8875,17.98849,0.8061,0.8056,0.7926,0.7663,0.7663
grid,256,4,205,-1,1000000,1.000037,0.088231,0.088345,0.9987,0.8597,0.8589,0.8547,0.9972,1.1496,1.1500,0.98271,982705,1.000056,0.8597,0.01172,0.8064,0.8056,0.8064,0.8591,0.8058
grid,256,4,410,-1,1000000,1.000104,0.088405,0.088453,0.9995,0.8592,0.8589,0.8545,0.9973,1.1495,1.1500,1.00000,1000000,1.000104,0.8592,NaN,0.8059,0.8056,0.8059,0.8585,0.8053
grid,256,4,2048,-1,1000000,0.999856,0.088424,0.088540,0.9987,0.8591,0.8589,0.8544,0.9973,1.1498,1.1500,1.00000,1000000,0.999856,0.8591,NaN,0.8055,0.8056,0.8055,0.8588,0.8050
grid,1024,3,410,0,1000000,0.999977,0.044131,0.044162,0.9993,0.9284,0.9284,0.9274,0.9985,1.0735,1.0738,0.00046,460,1.006553,0.9333,2.05858,0.9007,0.9000,0.9049,0.9267,0.8876
grid,1024,3,819,0,1000000,1.000005,0.044118,0.044189,0.9984,0.9289,0.9284,0.9273,0.9991,1.0742,1.0738,0.25683,256825,1.021165,0.9526,0.07517,0.9003,0.9000,0.9265,0.9526,0.9256
grid,1024,3,1638,0,1000000,0.999939,0.044201,0.044202,1.0000,0.9284,0.9284,0.9273,0.9994,1.0737,1.0738,1.00000,1000000,0.999939,0.9284,NaN,0.9002,0.9000,0.9002,0.9284,0.8998
grid,1024,3,8192,0,1000000,0.999959,0.044225,0.044213,1.0003,0.9283,0.9284,0.9273,0.9993,1.0738,1.0738,1.00000,1000000,0.999959,0.9283,NaN,0.9001,0.9000,0.9001,0.9281,0.8999
grid,1024,3,410,0.1,1000000,1.000010,0.044126,0.044162,0.9992,0.9283,0.9284,0.9274,0.9984,1.0734,1.0738,0.00049,492,1.000282,0.9266,1.99048,0.9006,0.9000,0.8906,0.9120,0.8598
grid,1024,3,819,0.1,1000000,1.000082,0.044192,0.044189,1.0001,0.9283,0.9284,0.9273,0.9994,1.0737,1.0738,0.25757,257573,1.013666,0.9430,0.07502,0.9006,0.9000,0.9153,0.9430,0.9153
grid,1024,3,1638,0.1,1000000,1.000041,0.044192,0.044202,0.9998,0.9285,0.9284,0.9273,0.9995,1.0738,1.0738,1.00000,1000000,1.000041,0.9285,NaN,0.9003,0.9000,0.9003,0.9285,0.9003
grid,1024,3,8192,0.1,1000000,1.000044,0.044234,0.044213,1.0005,0.9284,0.9284,0.9273,0.9994,1.0740,1.0738,1.00000,1000000,1.000044,0.9284,NaN,0.9000,0.9000,0.9000,0.9282,0.8997
grid,1024,3,410,0.5,1000000,0.999970,0.044187,0.044162,1.0006,0.9279,0.9284,0.9274,0.9997,1.0731,1.0738,0.00045,446,0.998774,0.9251,2.09066,0.9002,0.9000,0.9033,0.9165,0.8920
grid,1024,3,819,0.5,1000000,0.999981,0.044190,0.044189,1.0000,0.9286,0.9284,0.9273,0.9997,1.0740,1.0738,0.25583,255831,0.999871,0.9278,0.07537,0.9001,0.9000,0.9001,0.9278,0.8993
grid,1024,3,1638,0.5,1000000,0.999906,0.044193,0.044202,0.9998,0.9282,0.9284,0.9273,0.9993,1.0736,1.0738,1.00000,1000000,0.999906,0.9282,NaN,0.9001,0.9000,0.9001,0.9282,0.8997
grid,1024,3,8192,0.5,1000000,1.000051,0.044262,0.044213,1.0011,0.9285,0.9284,0.9273,0.9993,1.0739,1.0738,1.00000,1000000,1.000051,0.9285,NaN,0.9000,0.9000,0.9000,0.9283,0.8998
grid,1024,3,410,0.9,1000000,0.999979,0.044138,0.044162,0.9995,0.9283,0.9284,0.9274,0.9984,1.0734,1.0738,0.00051,511,1.004383,0.9324,1.95310,0.9006,0.9000,0.9056,0.9250,0.8745
grid,1024,3,819,0.9,1000000,1.000046,0.044244,0.044189,1.0013,0.9283,0.9284,0.9273,0.9994,1.0745,1.0738,0.25755,257549,1.013488,0.9430,0.07503,0.9006,0.9000,0.9153,0.9430,0.9153
grid,1024,3,1638,0.9,1000000,1.000055,0.044215,0.044202,1.0003,0.9285,0.9284,0.9273,0.9995,1.0738,1.0738,1.00000,1000000,1.000055,0.9285,NaN,0.9003,0.9000,0.9003,0.9281,0.8999
grid,1024,3,8192,0.9,1000000,0.999964,0.044214,0.044213,1.0000,0.9283,0.9284,0.9273,0.9994,1.0739,1.0738,1.00000,1000000,0.999964,0.9283,NaN,0.9000,0.9000,0.9000,0.9282,0.8997
grid,1024,3,410,-1,1000000,1.000050,0.044132,0.044162,0.9993,0.9287,0.9284,0.9274,0.9995,1.0737,1.0738,0.00044,445,0.998579,0.9228,2.09300,0.9002,0.9000,0.9003,0.9118,0.8747
grid,1024,3,819,-1,1000000,0.999986,0.044166,0.044189,0.9995,0.9285,0.9284,0.9273,0.9994,1.0737,1.0738,0.25708,257079,1.000083,0.9282,0.07512,0.9000,0.9000,0.8998,0.9278,0.8992
grid,1024,3,1638,-1,1000000,0.999984,0.044207,0.044202,1.0001,0.9285,0.9284,0.9273,0.9993,1.0739,1.0738,1.00000,1000000,0.999984,0.9285,NaN,0.8997,0.9000,0.8997,0.9283,0.8994
grid,1024,3,8192,-1,1000000,0.999975,0.044230,0.044213,1.0004,0.9284,0.9284,0.9273,0.9994,1.0738,1.0738,1.00000,1000000,0.999975,0.9284,NaN,0.8999,0.9000,0.8999,0.9282,0.8996
grid,1024,4,410,0,1000000,0.999973,0.044157,0.044162,0.9999,0.9289,0.9284,0.9274,0.9987,1.0746,1.0738,0.00000,1,0.975418,0.9754,44.16179,0.9007,0.9000,0.9754,0.9754,0.9754
grid,1024,4,819,0,1000000,0.999986,0.044221,0.044189,1.0007,0.9283,0.9284,0.9273,0.9994,1.0742,1.0738,0.99880,998797,0.999986,0.9283,0.00153,0.9008,0.9000,0.9008,0.9283,0.9001
grid,1024,4,1638,0,1000000,1.000050,0.044205,0.044202,1.0001,0.9284,0.9284,0.9273,0.9992,1.0740,1.0738,1.00000,1000000,1.000050,0.9284,NaN,0.9006,0.9000,0.9006,0.9284,0.9003
grid,1024,4,8192,0,1000000,0.999998,0.044213,0.044213,1.0000,0.9284,0.9284,0.9273,0.9993,1.0740,1.0738,1.00000,1000000,0.999998,0.9284,NaN,0.9001,0.9000,0.9001,0.9282,0.8998
grid,1024,4,410,0.1,1000000,0.999972,0.044171,0.044162,1.0002,0.9286,0.9284,0.9274,0.9996,1.0743,1.0738,0.00000,2,0.991679,0.9735,31.22709,0.9005,0.9000,0.9719,0.9715,0.9715
grid,1024,4,819,0.1,1000000,1.000042,0.044107,0.044189,0.9981,0.9287,0.9284,0.9273,0.9992,1.0739,1.0738,0.99879,998795,1.000043,0.9287,0.00153,0.9005,0.9000,0.9005,0.9287,0.9005
grid,1024,4,1638,0.1,1000000,1.000018,0.044193,0.044202,0.9998,0.9285,0.9284,0.9273,0.9993,1.0741,1.0738,1.00000,1000000,1.000018,0.9285,NaN,0.9003,0.9000,0.9003,0.9285,0.9000
grid,1024,4,8192,0.1,1000000,0.999957,0.044192,0.044213,0.9995,0.9284,0.9284,0.9273,0.9992,1.0737,1.0738,1.00000,1000000,0.999957,0.9284,NaN,0.9000,0.9000,0.9000,0.9282,0.8997
grid,1024,4,410,0.5,1000000,0.999955,0.044135,0.044162,0.9994,0.9280,0.9284,0.9274,0.9990,1.0737,1.0738,0.00000,4,1.002085,0.9491,22.08086,0.8999,0.9000,0.9450,0.9439,0.9439
grid,1024,4,819,0.5,1000000,1.000023,0.044193,0.044189,1.0001,0.9285,0.9284,0.9273,0.9990,1.0738,1.0738,0.99883,998827,1.000020,0.9285,0.00151,0.9003,0.9000,0.9003,0.9285,0.8997
grid,1024,4,1638,0.5,1000000,1.000028,0.044202,0.044202,1.0000,0.9285,0.9284,0.9273,0.9993,1.0738,1.0738,1.00000,1000000,1.000028,0.9285,NaN,0.9003,0.9000,0.9003,0.9282,0.9000
grid,1024,4,8192,0.5,1000000,1.000086,0.044202,0.044213,0.9998,0.9284,0.9284,0.9273,0.9994,1.0738,1.0738,1.00000,1000000,1.000086,0.9284,NaN,0.8998,0.9000,0.8998,0.9283,0.8996
grid,1024,4,410,0.9,1000000,0.999988,0.044136,0.044162,0.9994,0.9286,0.9284,0.9274,0.9996,1.0743,1.0738,0.00000,0,NaN,NaN,NaN,0.9005,0.9000,NaN,NaN,NaN
grid,1024,4,819,0.9,1000000,1.000049,0.044182,0.044189,0.9999,0.9287,0.9284,0.9273,0.9992,1.0739,1.0738,0.99882,998822,1.000049,0.9287,0.00152,0.9005,0.9000,0.9005,0.9287,0.8999
grid,1024,4,1638,0.9,1000000,0.999949,0.044153,0.044202,0.9989,0.9285,0.9284,0.9273,0.9993,1.0738,1.0738,1.00000,1000000,0.999949,0.9285,NaN,0.9003,0.9000,0.9003,0.9285,0.9000
grid,1024,4,8192,0.9,1000000,1.000026,0.044241,0.044213,1.0006,0.9284,0.9284,0.9273,0.9994,1.0738,1.0738,1.00000,1000000,1.000026,0.9284,NaN,0.9001,0.9000,0.9001,0.9282,0.8999
grid,1024,4,410,-1,1000000,1.000038,0.044107,0.044162,0.9988,0.9286,0.9284,0.9274,0.9993,1.0737,1.0738,0.00000,1,1.021942,1.0219,44.16179,0.8999,0.9000,1.0219,1.0219,1.0219
grid,1024,4,819,-1,1000000,1.000061,0.044199,0.044189,1.0002,0.9285,0.9284,0.9273,0.9994,1.0738,1.0738,0.99878,998776,1.000062,0.9285,0.00155,0.9001,0.9000,0.9001,0.9284,0.8998
grid,1024,4,1638,-1,1000000,0.999946,0.044170,0.044202,0.9993,0.9284,0.9284,0.9273,0.9993,1.0738,1.0738,1.00000,1000000,0.999946,0.9284,NaN,0.8999,0.9000,0.8999,0.9282,0.8997
grid,1024,4,8192,-1,1000000,0.999951,0.044232,0.044213,1.0004,0.9283,0.9284,0.9273,0.9994,1.0738,1.0738,1.00000,1000000,0.999951,0.9283,NaN,0.9001,0.9000,0.9001,0.9282,0.8999
