kind,M,k,d,neg_ratio,trials,mean_ratio,rsd_emp,rsd_theory,rsd_emp_over_theory,q05_emp,q05_chi2,q05_normal,q50_emp,q95_emp,q95_chi2,fail_rate,failed_n,failed_mean_ratio,failed_q05,lemma5_rel_bound,q01_emp,q01_chi2,failed_q01,failed_q05_oslcb95,failed_q01_oslcb95
grid,4096,4,6554,0.1,1000000,0.999985,0.022100,0.022098,1.0001,0.9639,0.9639,0.9637,0.9998,1.0366,1.0366,1.00000,1000000,0.999985,0.9639,NaN,0.9493,0.9493,0.9493,0.9639,0.9492
grid,4096,4,32768,0.1,1000000,1.000011,0.022117,0.022099,1.0008,0.9639,0.9639,0.9636,0.9998,1.0367,1.0366,1.00000,1000000,1.000011,0.9639,NaN,0.9493,0.9493,0.9493,0.9639,0.9491
grid,4096,4,1638,0.5,1000000,1.000022,0.022085,0.022093,0.9996,0.9640,0.9639,0.9637,0.9998,1.0367,1.0366,0.00000,0,NaN,NaN,NaN,0.9493,0.9493,NaN,NaN,NaN
grid,4096,4,3277,0.5,1000000,1.000012,0.022073,0.022096,0.9989,0.9640,0.9639,0.9637,0.9998,1.0366,1.0366,1.00000,1000000,1.000012,0.9640,NaN,0.9494,0.9493,0.9494,0.9639,0.9492
grid,4096,4,6554,0.5,1000000,0.999996,0.022073,0.022098,0.9988,0.9639,0.9639,0.9637,0.9998,1.0366,1.0366,1.00000,1000000,0.999996,0.9639,NaN,0.9494,0.9493,0.9494,0.9639,0.9492
grid,4096,4,32768,0.5,1000000,0.999993,0.022105,0.022099,1.0002,0.9640,0.9639,0.9636,0.9999,1.0366,1.0366,1.00000,1000000,0.999993,0.9640,NaN,0.9492,0.9493,0.9492,0.9639,0.9491
grid,4096,4,1638,0.9,1000000,0.999999,0.022095,0.022093,1.0001,0.9641,0.9639,0.9637,0.9998,1.0365,1.0366,0.00000,0,NaN,NaN,NaN,0.9494,0.9493,NaN,NaN,NaN
grid,4096,4,3277,0.9,1000000,1.000016,0.022112,0.022096,1.0007,0.9640,0.9639,0.9637,0.9999,1.0367,1.0366,1.00000,1000000,1.000016,0.9640,NaN,0.9495,0.9493,0.9495,0.9638,0.9493
grid,4096,4,6554,0.9,1000000,1.000012,0.022093,0.022098,0.9998,0.9640,0.9639,0.9637,0.9998,1.0366,1.0366,1.00000,1000000,1.000012,0.9640,NaN,0.9494,0.9493,0.9494,0.9639,0.9492
grid,4096,4,32768,0.9,1000000,1.000040,0.022095,0.022099,0.9998,0.9640,0.9639,0.9636,0.9999,1.0367,1.0366,1.00000,1000000,1.000040,0.9640,NaN,0.9493,0.9493,0.9493,0.9639,0.9491
