M,k,d,load,sign_mode,neg_ratio,rho,abs_rho,trials,failed_n,success_n,fail_rate,failed_mean,failed_variance,variance_ratio_to_unconditional_exact,effective_df_from_moments,ks_failed_vs_chi2,ks_all_vs_chi2,ks_failed_vs_all,ks_failed_vs_success,failed_q01,chi2_q01,error_q01,failed_q50,chi2_q50,error_q50,failed_q99,chi2_q99,error_q99,rho2,mean_bias
256,3,195,0.76171875,fixed:0.5,0.5,-0.0051282051282051,0.0051282051282051,1000000,139702,860298,0.139702,0.9997539779522844,0.0080517573365617,1.0318908081456997,248.27077485130192,0.0115359915583238,0.0085908641252013,0.0050236355528195,0.0058394132647286,0.80423634,0.8055720643512272,-0.0013357243512271,0.99795953,0.997386839503964,0.000572690496036,1.21935745,1.2174799538035523,0.0018774961964476,2.629848783694908e-05,-0.00024602204771562164
256,3,195,0.76171875,fixed:0.45,0.45,0.0974358974358974,0.0974358974358974,1000000,139094,860906,0.139094,1.000390394106072,0.0079952515407527,1.0246491826389978,250.34382858840672,0.0102054138240331,0.0086057562263509,0.0034898306612793,0.0040536721329383,0.80310125,0.8055720643512272,-0.0024708143512272,0.99682443,0.997386839503964,-0.000562409503964,1.21822236,1.2174799538035523,0.0007424061964476,0.009493754109138717,0.0003903941060718896
256,3,195,0.76171875,fixed:0.4,0.4,0.2,0.2,1000000,139218,860782,0.139218,1.001905900920714,0.0080673674613228,1.0338913582842182,248.8582400919052,0.0181779931654979,0.0081961158012314,0.0106568403080061,0.0123804172345682,0.80520928,0.8055720643512272,-0.0003627843512271,0.99893247,0.997386839503964,0.0015456304960359,1.22378974,1.2174799538035523,0.0063097861964476,0.04000000000000001,0.0019059009207140765
256,3,195,0.76171875,fixed:0.35,0.35,0.3025641025641025,0.3025641025641025,1000000,138848,861152,0.138848,1.0050482183477614,0.0079810200743369,1.0228253175165132,253.1310313206856,0.0309274363760377,0.0081665069980466,0.0232555671813782,0.0270051828032428,0.81056045,0.8055720643512272,0.0049883856487727,1.0008243,0.997386839503964,0.0034374604960358,1.22568156,1.2174799538035523,0.0082016061964476,0.09154503616042073,0.0050482183477613685
256,3,195,0.76171875,fixed:0.3,0.3,0.3948717948717948,0.3948717948717948,1000000,139347,860653,0.139347,1.008493487850474,0.0080097034519782,1.0265012993546834,253.95674662227927,0.0464730931964549,0.0081965420961385,0.0388727622338479,0.0451665912206753,0.81391169,0.8055720643512272,0.0083396256487727,1.00417553,0.997386839503964,0.0067886904960359,1.2290328,1.2174799538035523,0.0115528461964475,0.1559237343852728,0.008493487850474102
256,3,195,0.76171875,fixed:0.25,0.25,0.4974358974358974,0.4974358974358974,1000000,139548,860452,0.139548,1.014152594754708,0.0080306598723369,1.029187015855552,256.14470088331865,0.0711095941263739,0.0087234207711539,0.0642638400550347,0.0746861417662284,0.81677646,0.8055720643512272,0.0112043956487728,1.01049965,0.997386839503964,0.013112810496036,1.23535691,1.2174799538035523,0.0178769561964475,0.24744247205785663,0.014152594754708092
256,3,195,0.76171875,fixed:0.2,0.2,0.6,0.6,1000000,138872,861128,0.138872,1.0200855723540383,0.0079898710696599,1.0239596364403178,260.47343338899384,0.0972090074447395,0.0086154581284277,0.089937057837433,0.1044409865170253,0.82288436,0.8055720643512272,0.0173122956487727,1.01660755,0.997386839503964,0.019220710496036,1.24146482,1.2174799538035523,0.0239848661964476,0.36,0.020085572354038295
256,3,195,0.76171875,fixed:0.15,0.15,0.7025641025641025,0.7025641025641025,1000000,139841,860159,0.139841,1.027804483805751,0.0078781050819087,1.009636018551324,268.1817634946441,0.1320058556003339,0.009640278666951,0.1257457473988315,0.1461889573890775,0.8322354,0.8055720643512272,0.0266633356487727,1.02595858,0.997386839503964,0.0285717404960359,1.24735651,1.2174799538035523,0.0298765561964475,0.49359631821170274,0.027804483805750957
256,3,195,0.76171875,fixed:0.1,0.1,0.7948717948717948,0.7948717948717948,1000000,139116,860884,0.139116,1.036122603490756,0.0078344028619224,1.0040352636832308,274.06046596920334,0.1687148318796525,0.0099260306523351,0.1628470537393254,0.1891625976778816,0.84126212,0.8055720643512272,0.0356900556487728,1.03152596,0.997386839503964,0.0341391204960359,1.25638323,1.2174799538035523,0.0389032761964476,0.6318211702827087,0.03612260349075602
256,3,195,0.76171875,fixed:0.05,0.05,0.8974358974358975,0.8974358974358975,1000000,139244,860756,0.139244,1.0455901385675503,0.0077426900245242,0.9922816017254402,282.397651050709,0.212211731275378,0.0110138797973848,0.2075767174169084,0.2411562828686741,0.8515861,0.8055720643512272,0.0460140356487728,1.04184994,0.997386839503964,0.044463100496036,1.26324786,1.2174799538035523,0.0457679061964475,0.8053911900065747,0.04559013856755034
